N1,N2,N3
1.009805237999899,1.0082222510220673,1.0120526489878965
1.0246766409066654,1.041109059580728,1.0442241284281897
1.0368346165494762,1.1246180238367403,1.0507893530371932
1.0632343958671953,1.1217339041965875,1.1767204936106286
1.17804936832967,1.2488323746995083,1.1944358384780112
1.3390002695104142,1.351295934484603,1.4004054548262554
1.4129866117043142,1.417616314967961,1.4380525797457548
1.4213131117448952,1.3872413129732502,1.4307539540502332
