N1,N2,N3,N4
1.0222029183843981,1.0126522497099313,1.0183454256023663,1.008963124875962
1.0177510433704637,1.0288098426064636,1.025577335922775,1.0459899948880413
1.027346941813811,1.0297490114073335,1.0245540246502605,1.0469940260074881
1.0365081475326061,1.0905610449567884,1.0972078354502852,1.0814581767388092
1.08257170767999,1.0946211577809228,1.1000038691124818,1.1253453294046818
1.3305249224461135,1.297095064137401,1.2246101579824196,1.3593637101387366
1.3431964678625228,1.326785326676795,1.3407905276415844,1.329095252855001
1.356147614141942,1.3775871597054383,1.356556546823215,1.2987288628604399
